version	doi	v1	v2	v3	v4	v5	v6
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	1	"abartig"	3.15	0.36634755	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	2	"abbau"	1.547826	1.3195126	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	3	"abbauen"	1.7954545	1.2825228	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	4	"abblocken"	2.0	1.2472191	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	5	"abbruch"	2.0769231	1.3821203	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	6	"abdanken"	2.5454545	1.0357255	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	7	"abdecken"	1.7272727	1.0771134	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	8	"abdr��ngen"	2.3	0.6749486	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	9	"abenteuerlich"	2.375	0.89693207	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	10	"aberwitzig"	1.967742	1.303428	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	11	"abfall"	0.3809524	0.66904336	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	12	"abfallpolitik"	2.2727273	1.1908743	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	13	"abfeiern"	2.9	0.31622776	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	14	"abfertigen"	2.8	0.42163703	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	15	"abfuhr"	2.4285715	0.97833675	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	16	"abf��llig"	2.235955	0.9888293	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	17	"abf��lligkeit"	2.7	1.0593499	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	18	"abf��hren"	2.35	1.1367081	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	19	"abf��hrmittel"	1.6	1.5355438	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	20	"abgabenhinterziehung"	2.1	1.2866839	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	21	"abgang"	2.3823528	1.4567441	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	22	"abgebaut"	0.4	0.84327406	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	23	"abgeben"	1.5223881	1.4601599	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	24	"abgegeben"	0.8032787	1.3142763	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	25	"abgehen"	0.7894737	1.2727462	0	0
