pattern	replacement	feature	sentiment
 (nicht|nichts|kein|keine|keinen) aalen 	 NOT_aalen 	 NOT_aalen 	-1
 (nicht|nichts|kein|keine|keinen) aalglatt 	 NOT_aalglatt 	 NOT_aalglatt 	1
 (nicht|nichts|kein|keine|keinen) aasen 	 NOT_aasen 	 NOT_aasen 	1
 (nicht|nichts|kein|keine|keinen) aasig 	 NOT_aasig 	 NOT_aasig 	1
 (nicht|nichts|kein|keine|keinen) abandon 	 NOT_abandon 	 NOT_abandon 	1
 (nicht|nichts|kein|keine|keinen) abarbeiten 	 NOT_abarbeiten 	 NOT_abarbeiten 	1
 (nicht|nichts|kein|keine|keinen) abart 	 NOT_abart 	 NOT_abart 	1
 (nicht|nichts|kein|keine|keinen) abartig 	 NOT_abartig 	 NOT_abartig 	1
 (nicht|nichts|kein|keine|keinen) abbau 	 NOT_abbau 	 NOT_abbau 	1
 (nicht|nichts|kein|keine|keinen) abbaue 	 NOT_abbaue 	 NOT_abbaue 	1
 (nicht|nichts|kein|keine|keinen) abbauen 	 NOT_abbauen 	 NOT_abbauen 	1
 (nicht|nichts|kein|keine|keinen) abbaues 	 NOT_abbaues 	 NOT_abbaues 	1
 (nicht|nichts|kein|keine|keinen) abbaus 	 NOT_abbaus 	 NOT_abbaus 	1
 (nicht|nichts|kein|keine|keinen) abbauwürdig 	 NOT_abbauwürdig 	 NOT_abbauwürdig 	-1
 (nicht|nichts|kein|keine|keinen) abbildungsfehler 	 NOT_abbildungsfehler 	 NOT_abbildungsfehler 	1
 (nicht|nichts|kein|keine|keinen) abbildverzerrung 	 NOT_abbildverzerrung 	 NOT_abbildverzerrung 	1
 (nicht|nichts|kein|keine|keinen) abbinden 	 NOT_abbinden 	 NOT_abbinden 	1
 (nicht|nichts|kein|keine|keinen) abblendung 	 NOT_abblendung 	 NOT_abblendung 	1
 (nicht|nichts|kein|keine|keinen) abblocken 	 NOT_abblocken 	 NOT_abblocken 	1
 (nicht|nichts|kein|keine|keinen) abbohrung 	 NOT_abbohrung 	 NOT_abbohrung 	1
 (nicht|nichts|kein|keine|keinen) abbrechen 	 NOT_abbrechen 	 NOT_abbrechen 	1
 (nicht|nichts|kein|keine|keinen) abbringen 	 NOT_abbringen 	 NOT_abbringen 	1
 (nicht|nichts|kein|keine|keinen) abbröckeln 	 NOT_abbröckeln 	 NOT_abbröckeln 	1
 (nicht|nichts|kein|keine|keinen) abbruch 	 NOT_abbruch 	 NOT_abbruch 	1
 (nicht|nichts|kein|keine|keinen) abbrüche 	 NOT_abbrüche 	 NOT_abbrüche 	1
 (nicht|nichts|kein|keine|keinen) abbrüchen 	 NOT_abbrüchen 	 NOT_abbrüchen 	1
 (nicht|nichts|kein|keine|keinen) abbruches 	 NOT_abbruches 	 NOT_abbruches 	1
 (nicht|nichts|kein|keine|keinen) abbruchreif 	 NOT_abbruchreif 	 NOT_abbruchreif 	1
 (nicht|nichts|kein|keine|keinen) abbruchs 	 NOT_abbruchs 	 NOT_abbruchs 	1
 (nicht|nichts|kein|keine|keinen) abbruchstelle 	 NOT_abbruchstelle 	 NOT_abbruchstelle 	1
 (nicht|nichts|kein|keine|keinen) abdampf 	 NOT_abdampf 	 NOT_abdampf 	1
 (nicht|nichts|kein|keine|keinen) abdämpfen 	 NOT_abdämpfen 	 NOT_abdämpfen 	1
 (nicht|nichts|kein|keine|keinen) abdämpfung 	 NOT_abdämpfung 	 NOT_abdämpfung 	1
 (nicht|nichts|kein|keine|keinen) abdämpfungen 	 NOT_abdämpfungen 	 NOT_abdämpfungen 	1
 (nicht|nichts|kein|keine|keinen) abdank 	 NOT_abdank 	 NOT_abdank 	1
 (nicht|nichts|kein|keine|keinen) abdanke 	 NOT_abdanke 	 NOT_abdanke 	1
 (nicht|nichts|kein|keine|keinen) abdanken 	 NOT_abdanken 	 NOT_abdanken 	1
 (nicht|nichts|kein|keine|keinen) abdankest 	 NOT_abdankest 	 NOT_abdankest 	1
 (nicht|nichts|kein|keine|keinen) abdanket 	 NOT_abdanket 	 NOT_abdanket 	1
 (nicht|nichts|kein|keine|keinen) abdankst 	 NOT_abdankst 	 NOT_abdankst 	1
 (nicht|nichts|kein|keine|keinen) abdankt 	 NOT_abdankt 	 NOT_abdankt 	1
 (nicht|nichts|kein|keine|keinen) abdankte 	 NOT_abdankte 	 NOT_abdankte 	1
 (nicht|nichts|kein|keine|keinen) abdankten 	 NOT_abdankten 	 NOT_abdankten 	1
 (nicht|nichts|kein|keine|keinen) abdanktest 	 NOT_abdanktest 	 NOT_abdanktest 	1
 (nicht|nichts|kein|keine|keinen) abdanktet 	 NOT_abdanktet 	 NOT_abdanktet 	1
 (nicht|nichts|kein|keine|keinen) abdankung 	 NOT_abdankung 	 NOT_abdankung 	1
 (nicht|nichts|kein|keine|keinen) abdankungen 	 NOT_abdankungen 	 NOT_abdankungen 	1
 (nicht|nichts|kein|keine|keinen) abdecken 	 NOT_abdecken 	 NOT_abdecken 	1
 (nicht|nichts|kein|keine|keinen) abdrosseln 	 NOT_abdrosseln 	 NOT_abdrosseln 	1
 (nicht|nichts|kein|keine|keinen) abebben 	 NOT_abebben 	 NOT_abebben 	1
 (nicht|nichts|kein|keine|keinen) abenteuerlichkeit 	 NOT_abenteuerlichkeit 	 NOT_abenteuerlichkeit 	1
 (nicht|nichts|kein|keine|keinen) abenteuerpolitik 	 NOT_abenteuerpolitik 	 NOT_abenteuerpolitik 	1
 (nicht|nichts|kein|keine|keinen) aberglaube 	 NOT_aberglaube 	 NOT_aberglaube 	1
 (nicht|nichts|kein|keine|keinen) abergläubig 	 NOT_abergläubig 	 NOT_abergläubig 	1
 (nicht|nichts|kein|keine|keinen) abergläubisch 	 NOT_abergläubisch 	 NOT_abergläubisch 	1
 (nicht|nichts|kein|keine|keinen) aberkennen 	 NOT_aberkennen 	 NOT_aberkennen 	1
 (nicht|nichts|kein|keine|keinen) aberkennung 	 NOT_aberkennung 	 NOT_aberkennung 	1
 (nicht|nichts|kein|keine|keinen) aberration 	 NOT_aberration 	 NOT_aberration 	1
 (nicht|nichts|kein|keine|keinen) aberwitzig 	 NOT_aberwitzig 	 NOT_aberwitzig 	1
 (nicht|nichts|kein|keine|keinen) abfall 	 NOT_abfall 	 NOT_abfall 	1
 (nicht|nichts|kein|keine|keinen) abfallbrennstoff 	 NOT_abfallbrennstoff 	 NOT_abfallbrennstoff 	1
 (nicht|nichts|kein|keine|keinen) abfälle 	 NOT_abfälle 	 NOT_abfälle 	1
 (nicht|nichts|kein|keine|keinen) abfallen 	 NOT_abfallen 	 NOT_abfallen 	1
 (nicht|nichts|kein|keine|keinen) abfällen 	 NOT_abfällen 	 NOT_abfällen 	1
 (nicht|nichts|kein|keine|keinen) abfalles 	 NOT_abfalles 	 NOT_abfalles 	1
 (nicht|nichts|kein|keine|keinen) abfällig 	 NOT_abfällig 	 NOT_abfällig 	1
 (nicht|nichts|kein|keine|keinen) abfällige 	 NOT_abfällige 	 NOT_abfällige 	1
 (nicht|nichts|kein|keine|keinen) abfälligem 	 NOT_abfälligem 	 NOT_abfälligem 	1
 (nicht|nichts|kein|keine|keinen) abfälligen 	 NOT_abfälligen 	 NOT_abfälligen 	1
 (nicht|nichts|kein|keine|keinen) abfälliger 	 NOT_abfälliger 	 NOT_abfälliger 	1
 (nicht|nichts|kein|keine|keinen) abfälligere 	 NOT_abfälligere 	 NOT_abfälligere 	1
 (nicht|nichts|kein|keine|keinen) abfälligerem 	 NOT_abfälligerem 	 NOT_abfälligerem 	1
 (nicht|nichts|kein|keine|keinen) abfälligeren 	 NOT_abfälligeren 	 NOT_abfälligeren 	1
 (nicht|nichts|kein|keine|keinen) abfälligerer 	 NOT_abfälligerer 	 NOT_abfälligerer 	1
 (nicht|nichts|kein|keine|keinen) abfälligeres 	 NOT_abfälligeres 	 NOT_abfälligeres 	1
 (nicht|nichts|kein|keine|keinen) abfälliges 	 NOT_abfälliges 	 NOT_abfälliges 	1
 (nicht|nichts|kein|keine|keinen) abfälligst 	 NOT_abfälligst 	 NOT_abfälligst 	1
 (nicht|nichts|kein|keine|keinen) abfälligste 	 NOT_abfälligste 	 NOT_abfälligste 	1
 (nicht|nichts|kein|keine|keinen) abfälligstem 	 NOT_abfälligstem 	 NOT_abfälligstem 	1
 (nicht|nichts|kein|keine|keinen) abfälligsten 	 NOT_abfälligsten 	 NOT_abfälligsten 	1
 (nicht|nichts|kein|keine|keinen) abfälligster 	 NOT_abfälligster 	 NOT_abfälligster 	1
 (nicht|nichts|kein|keine|keinen) abfälligstes 	 NOT_abfälligstes 	 NOT_abfälligstes 	1
 (nicht|nichts|kein|keine|keinen) abfallkorb 	 NOT_abfallkorb 	 NOT_abfallkorb 	1
 (nicht|nichts|kein|keine|keinen) abfallprodukt 	 NOT_abfallprodukt 	 NOT_abfallprodukt 	1
 (nicht|nichts|kein|keine|keinen) abfallquote 	 NOT_abfallquote 	 NOT_abfallquote 	1
 (nicht|nichts|kein|keine|keinen) abfalls 	 NOT_abfalls 	 NOT_abfalls 	1
 (nicht|nichts|kein|keine|keinen) abfallstoff 	 NOT_abfallstoff 	 NOT_abfallstoff 	1
 (nicht|nichts|kein|keine|keinen) abfallstoffe 	 NOT_abfallstoffe 	 NOT_abfallstoffe 	1
 (nicht|nichts|kein|keine|keinen) abfallstück 	 NOT_abfallstück 	 NOT_abfallstück 	1
 (nicht|nichts|kein|keine|keinen) abfallstutzen 	 NOT_abfallstutzen 	 NOT_abfallstutzen 	1
