"no","type","Word","Sub_Type","Type2","Type3","wildcard","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor","at_FPOE","at_Gruene","at_NEOS","at_OEVP","at_PILZ","at_SPOE","de_AfD","de_CDU","de_CSU","de_FDP","de_Gruene","de_Linke","de_Piraten","de_SPD","ch_BDP","ch_CVP","ch_EDU","ch_EVP","ch_FDP","ch_Gruene","ch_Gruenliberale","ch_SP","ch_SVP","at_mean","de_mean","ch_mean","at_FPOE_meandv","at_Gruene_meandv","at_NEOS_meandv","at_OEVP_meandv","at_PILZ_meandv","at_SPOE_meandv","de_AfD_meandv","de_CDU_meandv","de_CSU_meandv","de_FDP_meandv","de_Gruene_meandv","de_Linke_meandv","de_Piraten_meandv","de_SPD_meandv","ch_BDP_meandv","ch_CVP_meandv","ch_EDU_meandv","ch_EVP_meandv","ch_FDP_meandv","ch_Gruene_meandv","ch_Gruenliberale_meandv","ch_SP_meandv","ch_SVP_meandv"
1,,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bürger(s|innen|in)?","sorgen der menschen","advocative","people-centrism","regex",0,0,0,0,1,,"aängstedesreinesrunseresrbürgersinnenin",TRUE,FALSE,FALSE,2019-04-11,15,1.43,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bürger(s|innen|in)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutsche(n|r)","sorgen der menschen","advocative","people-centrism","regex",0,0,0,0,1,,"aängstedesreinesrunseresrdeutschenr",TRUE,FALSE,FALSE,2020-03-17,6,1.44,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutsche(n|r)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"adjective","aberwitzig(e|er|es|en|em)?","zzz_none","conflictive","anti-elitism","regex",0,0,0,0,1,,"aberwitzigeeresenem",FALSE,FALSE,FALSE,2020-03-17,69,1.13,1,"aberwitzig(e|er|es|en|em)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"abgehoben(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,0,0,1,,"abgehobeneeresenem",FALSE,FALSE,FALSE,2019-04-11,149,1.17,1,"abgehoben(e|er|es|en|em)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"alt(-)?partei(en)?","zzz_none","conflictive","anti-elitism","regex",0,0,0,0,1,,"altparteien",FALSE,FALSE,FALSE,2019-04-08,680,1.20,1,"alt(-)?partei(en)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"phrase","an der nase herumführ(t|en)","zzz_none","conflictive","anti-elitism","regex",0,0,0,0,1,,"andernaseherumführten",TRUE,FALSE,FALSE,2020-03-17,25,1.16,1,"an der nase herumführ(t|en)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"angeblich(e|er|en)? ([^[:space:]]*)partei(en)?","pseudo-eliten","conflictive","anti-elitism","regex",0,0,0,0,1,,"angeblicheeren[^[:space:]]parteien",TRUE,FALSE,FALSE,2019-04-11,14,1.25,1,"angeblich(e|er|en)? ([^[:space:]]*)partei(en)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"anma(ß|ss)end(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,0,0,1,,"anmaßssendeeresenem",FALSE,FALSE,FALSE,2019-04-11,39,1.18,1,"anma(ß|ss)end(e|er|es|en|em)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"anständig(e|er|es|en|em) bürger(s|n|innen|in)?","zzz_none","advocative","people-centrism","regex",0,0,0,0,1,,"anständigeeresenembürgersninnenin",TRUE,FALSE,FALSE,2020-03-17,7,1.21,1,"anständig(e|er|es|en|em) bürger(s|n|innen|in)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,"anti(-)?demokratisch(e|er|es|en|em)? ","diktatorische eliten","conflictive","sovereignty","regex",0,0,0,0,1,,"antidemokratischeeresenem",TRUE,FALSE,FALSE,2019-04-11,134,1.45,1,"anti(-)?demokratisch(e|er|es|en|em)? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
